Object,Affordance,Question0,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Question12,Question13,Question14,ExplanatoryQuestion1,ExplanatoryQuestion2,ExplanatoryQuestion3,Answer0,Answer1
bottle,open,"if you want to open this bottle ,from which points on the cap would you open it ?","what are the optimal points on the bottle cap to grip and apply force in order to open it effectively and easily?""",Where to open bottle?,Could opening the bottle be done differently?,Ideal open spot on bottle?,Any tips on opening the bottle efficiently?,What makes the bottle easy or hard to open?,Could opening the bottle be done differently?,Ideal open spot on bottle?,Best bottle open method?,Point out the areas on the bottle ideal for opening.,Any tips on opening the bottle efficiently?,Identify the key points on the bottle that ensure a successful opening experience.,Your preferred open point on bottle?,What precautions would you take while opening the bottle in different scenarios?,"Where would you open the bottle, and what makes you choose that part?",Can you show the spot on the bottle meant for opening and explain its importance?,Highlight the ideal place for opening on the bottle and tell me why it's suitable.,The design of the bottle facilitates opening in its unique way.,Improper opening of the bottle could lead to inefficiencies or challenges in usage.
bottle,pour,"suppose there is water in the bottle ,and you want to pour the water out of the bottle. from which points on the bottle will the water flow out?","when pouring water out of the bottle, from which points on the bottle's opening will the water exit and flow?",How would you approach pouring the bottle to maintain its condition?,pouring bottle: top choice?,Could pouring the bottle be done differently?,What precautions would you take while pouring the bottle in different scenarios?,pouring bottle: top choice?,Any tips on pouring the bottle efficiently?,Any tips on pouring the bottle efficiently?,pouring bottle: top choice?,What makes the bottle easy or hard to pour?,Your preferred pour point on bottle?,What makes the bottle easy or hard to pour?,What makes the bottle easy or hard to pour?,Your preferred pour point on bottle?,"Where would you pour the bottle, and what makes you choose that part?","Which part of the bottle is crucial for pouring, and why is that the case?",Can you show the spot on the bottle meant for pouring and explain its importance?,The design of the bottle facilitates pouring in its unique way.,Improper pouring of the bottle could lead to inefficiencies or challenges in usage.
bowl,wrap_grasp,"if you wrap-grasp the bowl ,at which points on the bowl wall will your palm touch ?","when gripping the bowl directly, where should your palm make contact with the bowl wall to ensure a secure and comfortable hold?",Could wrap_grasping the bowl be done differently?,Which part of the bowl allows for the most efficient wrap_grasping method?,Describe your wrap_grasp method on the bowl.,Any tips on wrap_grasping the bowl efficiently?,Which part of the bowl allows for the most efficient wrap_grasping method?,"Considering the structure of the bowl, what area would be most stable for wrap_grasping?",Could wrap_grasping the bowl be done differently?,Point out the areas on the bowl ideal for wrap_grasping.,Could wrap_grasping the bowl be done differently?,How would you approach wrap_grasping the bowl to maintain its condition?,wrap_grasping bowl: top choice?,What makes the bowl easy or hard to wrap_grasp?,"Considering the structure of the bowl, what area would be most stable for wrap_grasping?","Where would you wrap_grasp the bowl, and what makes you choose that part?","Which part of the bowl is crucial for wrap_grasping, and why is that the case?",Highlight the ideal place for wrap_grasping on the bowl and tell me why it's suitable.,The design of the bowl facilitates wrap_grasping in its unique way.,Improper wrap_grasping of the bowl could lead to inefficiencies or challenges in usage.
bowl,contain,"if you want to put something in the bowl ,at which points in the bowl would you put it ?","when placing an item inside the bowl, where should you position it for optimal placement and even distribution?",What makes the bowl easy or hard to contain?,Your preferred contain point on bowl?,Point out the areas on the bowl ideal for containing.,Ideal contain spot on bowl?,Ideal contain spot on bowl?,Identify the key points on the bowl that ensure a successful containing experience.,Point out the areas on the bowl ideal for containing.,containing bowl: top choice?,Point out the areas on the bowl ideal for containing.,Any tips on containing the bowl efficiently?,Any tips on containing the bowl efficiently?,Point out the areas on the bowl ideal for containing.,What makes the bowl easy or hard to contain?,Can you show the spot on the bowl meant for containing and explain its importance?,Highlight the ideal place for containing on the bowl and tell me why it's suitable.,Highlight the ideal place for containing on the bowl and tell me why it's suitable.,The design of the bowl facilitates containing in its unique way.,Improper containing of the bowl could lead to inefficiencies or challenges in usage.
bowl,pour,"suppose there is water in the bowl ,and you want to pour the water out of the bowl ,from which point will the water flow out?","if there is water in the bowl and you want to pour it out, from which point on the bowl's rim should you begin to tilt and pour for the most controlled and efficient flow?",Any tips on pouring the bowl efficiently?,Ideal pour spot on bowl?,Which part of the bowl allows for the most efficient pouring method?,What precautions would you take while pouring the bowl in different scenarios?,Any tips on pouring the bowl efficiently?,Which part of the bowl allows for the most efficient pouring method?,Best bowl pour method?,What precautions would you take while pouring the bowl in different scenarios?,Could pouring the bowl be done differently?,Could pouring the bowl be done differently?,Describe your pour method on the bowl.,pouring bowl: top choice?,Which part of the bowl allows for the most efficient pouring method?,Can you show the spot on the bowl meant for pouring and explain its importance?,Highlight the ideal place for pouring on the bowl and tell me why it's suitable.,"Which part of the bowl is crucial for pouring, and why is that the case?",The design of the bowl facilitates pouring in its unique way.,Improper pouring of the bowl could lead to inefficiencies or challenges in usage.
chair,sit,"if you were sitting on this chair ,on which points would you sit ?","when sitting on a chair, which points of contact between your body and the chair should be prioritized for optimal comfort and support?",Could siting the chair be done differently?,Point out the areas on the chair ideal for siting.,How would you approach siting the chair to maintain its condition?,Where to sit chair?,Any tips on siting the chair efficiently?,Ideal sit spot on chair?,Which part of the chair allows for the most efficient siting method?,Describe your sit method on the chair.,How would you approach siting the chair to maintain its condition?,Ideal sit spot on chair?,Your preferred sit point on chair?,siting chair: top choice?,Could siting the chair be done differently?,Can you show the spot on the chair meant for siting and explain its importance?,"What's the best area on the chair for siting, and what's the reasoning behind it?","Which part of the chair is crucial for siting, and why is that the case?",The design of the chair facilitates siting in its unique way.,Improper siting of the chair could lead to inefficiencies or challenges in usage.
chair,support,"if you want to put something on the chair ,at which points on the chair would you put it ?","when positioning an item on a chair, where should it be placed to ensure maximum stability, balance, and to keep the item securely on the chair?",Best chair support method?,Ideal support spot on chair?,"Considering the structure of the chair, what area would be most stable for supporting?",Point out the areas on the chair ideal for supporting.,Any tips on supporting the chair efficiently?,How would you approach supporting the chair to maintain its condition?,Your preferred support point on chair?,What precautions would you take while supporting the chair in different scenarios?,"Considering the structure of the chair, what area would be most stable for supporting?","If you want to ensure the chair doesn't get damaged, what part would you support?",Your preferred support point on chair?,Describe your support method on the chair.,Could supporting the chair be done differently?,"Where would you support the chair, and what makes you choose that part?",Highlight the ideal place for supporting on the chair and tell me why it's suitable.,Can you show the spot on the chair meant for supporting and explain its importance?,The design of the chair facilitates supporting in its unique way.,Improper supporting of the chair could lead to inefficiencies or challenges in usage.
chair,move,"if you want to move this chair ,at which points on the chair will you exert force ?","to move a chair effectively and with control, where on the chair should you exert force?",What makes the chair easy or hard to move?,Describe your move method on the chair.,Point out the areas on the chair ideal for moveing.,What precautions would you take while moveing the chair in different scenarios?,Which part of the chair allows for the most efficient moveing method?,What makes the chair easy or hard to move?,Describe your move method on the chair.,"Considering the structure of the chair, what area would be most stable for moveing?",Identify the key points on the chair that ensure a successful moveing experience.,Describe your move method on the chair.,Best chair move method?,moveing chair: top choice?,Identify the key points on the chair that ensure a successful moveing experience.,Can you show the spot on the chair meant for moveing and explain its importance?,Highlight the ideal place for moveing on the chair and tell me why it's suitable.,"Which part of the chair is crucial for moveing, and why is that the case?",The design of the chair facilitates moveing in its unique way.,Improper moveing of the chair could lead to inefficiencies or challenges in usage.
clock,display,"if you want to look at the time ,which points on this clock would you look at ?","when glancing at a clock to determine the time, which points or sections should you concentrate on for a quick and precise reading?",How would you approach displaying the clock to maintain its condition?,displaying clock: top choice?,How would you approach displaying the clock to maintain its condition?,"Considering the structure of the clock, what area would be most stable for displaying?",Identify the key points on the clock that ensure a successful displaying experience.,"Considering the structure of the clock, what area would be most stable for displaying?",Your preferred display point on clock?,displaying clock: top choice?,Which part of the clock allows for the most efficient displaying method?,Ideal display spot on clock?,Could displaying the clock be done differently?,"Considering the structure of the clock, what area would be most stable for displaying?",Point out the areas on the clock ideal for displaying.,"Where would you display the clock, and what makes you choose that part?",Can you show the spot on the clock meant for displaying and explain its importance?,"Which part of the clock is crucial for displaying, and why is that the case?",The design of the clock facilitates displaying in its unique way.,Improper displaying of the clock could lead to inefficiencies or challenges in usage.
dishwasher,contain,"if you want to load things in the dishwasher, at which points in the dishwasher would you put the things?","when arranging items in a dishwasher, where should they be positioned for the best cleaning results and efficient utilization of space inside the dishwasher?",How would you approach containing the dishwasher to maintain its condition?,Which part of the dishwasher allows for the most efficient containing method?,Ideal contain spot on dishwasher?,What precautions would you take while containing the dishwasher in different scenarios?,How would you approach containing the dishwasher to maintain its condition?,Any tips on containing the dishwasher efficiently?,Best dishwasher contain method?,How would you approach containing the dishwasher to maintain its condition?,Point out the areas on the dishwasher ideal for containing.,Your preferred contain point on dishwasher?,Could containing the dishwasher be done differently?,Any tips on containing the dishwasher efficiently?,What makes the dishwasher easy or hard to contain?,"What's the best area on the dishwasher for containing, and what's the reasoning behind it?",Can you show the spot on the dishwasher meant for containing and explain its importance?,"Where would you contain the dishwasher, and what makes you choose that part?",The design of the dishwasher facilitates containing in its unique way.,Improper containing of the dishwasher could lead to inefficiencies or challenges in usage.
dishwasher,open,"if you want to open this dishwasher, from which points on the dishwasher door would you open it?","to open a dishwasher with ease and control, which locations on the dishwasher door should you apply force?",Describe your open method on the dishwasher.,Identify the key points on the dishwasher that ensure a successful opening experience.,Your preferred open point on dishwasher?,Point out the areas on the dishwasher ideal for opening.,Best dishwasher open method?,Which part of the dishwasher allows for the most efficient opening method?,Which part of the dishwasher allows for the most efficient opening method?,Which part of the dishwasher allows for the most efficient opening method?,Could opening the dishwasher be done differently?,Identify the key points on the dishwasher that ensure a successful opening experience.,Point out the areas on the dishwasher ideal for opening.,"If you want to ensure the dishwasher doesn't get damaged, what part would you open?",opening dishwasher: top choice?,Can you show the spot on the dishwasher meant for opening and explain its importance?,"Which part of the dishwasher is crucial for opening, and why is that the case?",Highlight the ideal place for opening on the dishwasher and tell me why it's suitable.,The design of the dishwasher facilitates opening in its unique way.,Improper opening of the dishwasher could lead to inefficiencies or challenges in usage.
display,display,"if you look on the screen ,which points on the screen will you look at ?","when looking at a screen, which points or regions should you concentrate on in order to effectively absorb information or enjoy the displayed content?",Ideal display spot on display?,Any tips on displaying the display efficiently?,Which part of the display allows for the most efficient displaying method?,Could displaying the display be done differently?,"If you want to ensure the display doesn't get damaged, what part would you display?",Point out the areas on the display ideal for displaying.,Which part of the display allows for the most efficient displaying method?,Ideal display spot on display?,Best display display method?,Your preferred display point on display?,Your preferred display point on display?,Which part of the display allows for the most efficient displaying method?,Where to display display?,Can you show the spot on the display meant for displaying and explain its importance?,Highlight the ideal place for displaying on the display and tell me why it's suitable.,"Which part of the display is crucial for displaying, and why is that the case?",The design of the display facilitates displaying in its unique way.,Improper displaying of the display could lead to inefficiencies or challenges in usage.
door,push,"if you want to push the door ,at which points on the door will your palm touch ?","when pushing a door open, where on the door should your palm make contact for the most efficient and controlled action?",Any tips on pushing the door efficiently?,pushing door: top choice?,Identify the key points on the door that ensure a successful pushing experience.,Your preferred push point on door?,Describe your push method on the door.,What makes the door easy or hard to push?,"Considering the structure of the door, what area would be most stable for pushing?",Where to push door?,Your preferred push point on door?,How would you approach pushing the door to maintain its condition?,How would you approach pushing the door to maintain its condition?,Ideal push spot on door?,Could pushing the door be done differently?,"Where would you push the door, and what makes you choose that part?",Highlight the ideal place for pushing on the door and tell me why it's suitable.,"What's the best area on the door for pushing, and what's the reasoning behind it?",The design of the door facilitates pushing in its unique way.,Improper pushing of the door could lead to inefficiencies or challenges in usage.
door,open,"if you were to open the door ,from which points on the door would you open it ?","to open a door with ease and control, where on the door should you apply force or grasp the handle?",Describe your open method on the door.,Describe your open method on the door.,Could opening the door be done differently?,Which part of the door allows for the most efficient opening method?,Which part of the door allows for the most efficient opening method?,Any tips on opening the door efficiently?,Could opening the door be done differently?,Describe your open method on the door.,Point out the areas on the door ideal for opening.,What precautions would you take while opening the door in different scenarios?,Describe your open method on the door.,Which part of the door allows for the most efficient opening method?,Best door open method?,"What's the best area on the door for opening, and what's the reasoning behind it?",Can you show the spot on the door meant for opening and explain its importance?,"What's the best area on the door for opening, and what's the reasoning behind it?",The design of the door facilitates opening in its unique way.,Improper opening of the door could lead to inefficiencies or challenges in usage.
door,pull,"if you want to pull the door ,which points on the door will you pull with your finger ?","when pulling a door open, which locations on the door or handle should your fingers hold for the most efficient and controlled action?","Considering the structure of the door, what area would be most stable for pulling?",Which part of the door allows for the most efficient pulling method?,Best door pull method?,Which part of the door allows for the most efficient pulling method?,Which part of the door allows for the most efficient pulling method?,Identify the key points on the door that ensure a successful pulling experience.,"If you want to ensure the door doesn't get damaged, what part would you pull?",Describe your pull method on the door.,"Considering the structure of the door, what area would be most stable for pulling?",Where to pull door?,Best door pull method?,Could pulling the door be done differently?,What precautions would you take while pulling the door in different scenarios?,Can you show the spot on the door meant for pulling and explain its importance?,Can you show the spot on the door meant for pulling and explain its importance?,"What's the best area on the door for pulling, and what's the reasoning behind it?",The design of the door facilitates pulling in its unique way.,Improper pulling of the door could lead to inefficiencies or challenges in usage.
earphone,grasp,"if you want to grab this earphone, where will your palm position be?","when picking up an earphone, where should your palm and fingers be situated for a secure and comfortable hold?",Point out the areas on the earphone ideal for grasping.,Could grasping the earphone be done differently?,Which part of the earphone allows for the most efficient grasping method?,Best earphone grasp method?,Any tips on grasping the earphone efficiently?,Any tips on grasping the earphone efficiently?,grasping earphone: top choice?,Best earphone grasp method?,"If you want to ensure the earphone doesn't get damaged, what part would you grasp?","If you want to ensure the earphone doesn't get damaged, what part would you grasp?",Point out the areas on the earphone ideal for grasping.,Your preferred grasp point on earphone?,Where to grasp earphone?,"What's the best area on the earphone for grasping, and what's the reasoning behind it?","What's the best area on the earphone for grasping, and what's the reasoning behind it?",Can you show the spot on the earphone meant for grasping and explain its importance?,The design of the earphone facilitates grasping in its unique way.,Improper grasping of the earphone could lead to inefficiencies or challenges in usage.
earphone,listen,"if you want to listen to music with headphones, which points on the headphones will point to your ears?","for optimal comfort and sound quality when listening to music with headphones, which parts of the headphones should be aligned with your ears?",Best earphone listen method?,Describe your listen method on the earphone.,Any tips on listening the earphone efficiently?,"If you want to ensure the earphone doesn't get damaged, what part would you listen?",Where to listen earphone?,Ideal listen spot on earphone?,What precautions would you take while listening the earphone in different scenarios?,"If you want to ensure the earphone doesn't get damaged, what part would you listen?",Where to listen earphone?,Describe your listen method on the earphone.,Any tips on listening the earphone efficiently?,Point out the areas on the earphone ideal for listening.,"Considering the structure of the earphone, what area would be most stable for listening?",Can you show the spot on the earphone meant for listening and explain its importance?,"Where would you listen the earphone, and what makes you choose that part?",Highlight the ideal place for listening on the earphone and tell me why it's suitable.,The design of the earphone facilitates listening in its unique way.,Improper listening of the earphone could lead to inefficiencies or challenges in usage.
faucet,grasp,"if you want to grab this faucet ,which points on the faucet will your palm touch ?","when attempting to grasp a faucet, which specific points on the faucet should your palm and fingers come into contact with for a secure and comfortable grip?",Describe your grasp method on the faucet.,Describe your grasp method on the faucet.,Ideal grasp spot on faucet?,"Considering the structure of the faucet, what area would be most stable for grasping?",Ideal grasp spot on faucet?,Any tips on grasping the faucet efficiently?,Point out the areas on the faucet ideal for grasping.,Which part of the faucet allows for the most efficient grasping method?,Any tips on grasping the faucet efficiently?,Best faucet grasp method?,Identify the key points on the faucet that ensure a successful grasping experience.,Where to grasp faucet?,What makes the faucet easy or hard to grasp?,"Where would you grasp the faucet, and what makes you choose that part?","Which part of the faucet is crucial for grasping, and why is that the case?",Highlight the ideal place for grasping on the faucet and tell me why it's suitable.,The design of the faucet facilitates grasping in its unique way.,Improper grasping of the faucet could lead to inefficiencies or challenges in usage.
faucet,open,"if you want to boil water, at which points on the tap would you open the water valve?","to boil water, at which specific points on the tap should you turn or manipulate the handle to open the water valve and initiate water flow?",Describe your open method on the faucet.,Ideal open spot on faucet?,Identify the key points on the faucet that ensure a successful opening experience.,Any tips on opening the faucet efficiently?,How would you approach opening the faucet to maintain its condition?,opening faucet: top choice?,Identify the key points on the faucet that ensure a successful opening experience.,Could opening the faucet be done differently?,Which part of the faucet allows for the most efficient opening method?,"Considering the structure of the faucet, what area would be most stable for opening?",Point out the areas on the faucet ideal for opening.,Best faucet open method?,What precautions would you take while opening the faucet in different scenarios?,"What's the best area on the faucet for opening, and what's the reasoning behind it?",Can you show the spot on the faucet meant for opening and explain its importance?,"Where would you open the faucet, and what makes you choose that part?",The design of the faucet facilitates opening in its unique way.,Improper opening of the faucet could lead to inefficiencies or challenges in usage.
hat,grasp,"if you want to grab this hat ,which points on the hat will your palm touch ?","to securely grasp this hat, which specific areas on the hat should your palm and fingers make contact with?",Point out the areas on the hat ideal for grasping.,"Considering the structure of the hat, what area would be most stable for grasping?",How would you approach grasping the hat to maintain its condition?,Your preferred grasp point on hat?,How would you approach grasping the hat to maintain its condition?,Identify the key points on the hat that ensure a successful grasping experience.,Identify the key points on the hat that ensure a successful grasping experience.,Describe your grasp method on the hat.,What makes the hat easy or hard to grasp?,Where to grasp hat?,Which part of the hat allows for the most efficient grasping method?,What precautions would you take while grasping the hat in different scenarios?,How would you approach grasping the hat to maintain its condition?,Highlight the ideal place for grasping on the hat and tell me why it's suitable.,Highlight the ideal place for grasping on the hat and tell me why it's suitable.,Highlight the ideal place for grasping on the hat and tell me why it's suitable.,The design of the hat facilitates grasping in its unique way.,Improper grasping of the hat could lead to inefficiencies or challenges in usage.
hat,wear,"if you want to wear this hat, which points on the hat will make contact with your head?","for a comfortable and proper fit, which sections of the hat will come into contact with your head when wearing it?",wearing hat: top choice?,Your preferred wear point on hat?,Describe your wear method on the hat.,What precautions would you take while wearing the hat in different scenarios?,How would you approach wearing the hat to maintain its condition?,What makes the hat easy or hard to wear?,Ideal wear spot on hat?,How would you approach wearing the hat to maintain its condition?,Where to wear hat?,Ideal wear spot on hat?,Which part of the hat allows for the most efficient wearing method?,Any tips on wearing the hat efficiently?,Could wearing the hat be done differently?,"Which part of the hat is crucial for wearing, and why is that the case?","Which part of the hat is crucial for wearing, and why is that the case?","Where would you wear the hat, and what makes you choose that part?",The design of the hat facilitates wearing in its unique way.,Improper wearing of the hat could lead to inefficiencies or challenges in usage.
